iter	Passed	Remaining
0	1	564
1	3	541
2	4	487
3	6	501
4	7	470
5	9	480
6	11	464
7	12	457
8	13	446
9	15	437
10	16	432
11	17	425
12	19	420
13	20	414
14	21	410
15	22	405
16	24	402
17	25	400
18	26	397
19	28	394
20	29	391
21	30	388
22	32	385
23	33	383
24	34	381
25	35	378
26	37	376
27	38	374
28	39	371
29	41	369
30	42	368
31	43	366
32	45	364
33	46	362
34	47	361
35	49	359
36	50	357
37	51	356
38	52	354
39	54	354
40	56	355
41	57	355
42	59	353
43	60	351
44	61	349
45	62	347
46	64	345
47	65	344
48	66	342
49	68	340
50	69	339
51	70	337
52	72	335
53	73	334
54	74	332
55	75	330
56	77	329
57	78	327
58	79	325
59	80	323
60	82	322
61	83	322
62	85	321
63	87	322
64	88	321
65	90	319
66	91	318
67	92	316
68	94	315
69	95	313
70	96	312
71	98	310
72	99	308
73	100	307
74	101	305
75	103	303
76	104	302
77	105	300
78	106	298
79	108	297
80	110	297
81	111	297
82	114	298
83	115	297
84	116	295
85	118	294
86	119	292
87	120	290
88	121	289
89	123	287
90	124	285
91	125	284
92	126	282
93	127	280
94	129	278
95	130	277
96	131	275
97	133	274
98	134	273
99	135	271
100	137	270
101	138	268
102	139	267
103	141	265
104	142	264
105	143	262
106	144	261
107	146	260
108	147	258
109	148	257
110	150	255
111	151	253
112	151	251
113	153	249
114	154	248
115	155	246
116	156	244
117	157	243
118	159	241
119	160	240
120	161	239
121	162	237
122	164	236
123	165	235
124	167	234
125	169	233
126	170	231
127	171	230
128	173	229
129	174	228
130	175	226
131	176	225
132	178	223
133	179	222
134	180	220
135	182	219
136	183	218
137	184	216
138	185	215
139	187	213
140	188	212
141	189	211
142	191	210
143	191	207
144	193	206
145	194	205
146	196	204
147	197	203
148	199	201
149	200	200
150	201	198
151	202	197
152	204	196
153	205	195
154	206	193
155	208	192
156	208	190
157	210	188
158	211	187
159	212	186
160	214	185
161	216	184
162	217	182
163	218	181
164	220	180
165	221	179
166	223	177
167	224	176
168	225	174
169	226	173
170	227	171
171	228	169
172	229	168
173	230	167
174	231	165
175	233	164
176	234	163
177	236	161
178	237	160
179	239	159
180	240	158
181	241	156
182	243	155
183	244	154
184	245	152
185	246	151
186	248	149
187	249	148
188	250	147
189	251	145
190	253	144
191	254	143
192	255	141
193	257	140
194	258	139
195	259	137
196	260	136
197	262	135
198	263	133
199	264	132
200	265	130
201	267	129
202	268	128
203	269	126
204	271	125
205	272	124
206	273	122
207	274	121
208	276	120
209	277	118
210	278	117
211	280	116
212	281	114
213	282	113
214	283	112
215	284	110
216	286	109
217	287	108
218	288	106
219	290	105
220	292	104
221	293	103
222	294	101
223	295	100
224	297	99
225	298	97
226	299	96
227	300	95
228	302	93
229	303	92
230	304	90
231	305	89
232	307	88
233	308	86
234	309	85
235	310	84
236	312	82
237	313	81
238	314	80
239	315	78
240	317	77
241	318	76
242	319	74
243	320	73
244	322	72
245	323	71
246	324	69
247	326	68
248	327	67
249	328	65
250	329	64
251	331	63
252	332	61
253	333	60
254	334	59
255	335	57
256	337	56
257	338	55
258	339	53
259	341	52
260	342	51
261	343	49
262	344	48
263	346	47
264	347	45
265	348	44
266	349	43
267	351	41
268	352	40
269	353	39
270	354	37
271	356	36
272	357	35
273	358	34
274	360	32
275	361	31
276	363	30
277	364	28
278	365	27
279	366	26
280	368	24
281	369	23
282	370	22
283	371	20
284	373	19
285	374	18
286	375	17
287	376	15
288	378	14
289	379	13
290	380	11
291	381	10
292	383	9
293	384	7
294	385	6
295	386	5
296	388	3
297	389	2
298	390	1
299	391	0
