,meta_return,regime,strategy
2020-01-02,0.0093516361069174,UNKNOWN,SPY
2020-01-03,-0.0079729543527982,BULL,MOMENTUM
2020-01-06,0.0034007877146745,BULL,MOMENTUM
2020-01-07,-0.0007973393943585,BULL,MOMENTUM
2020-01-08,0.0054342521597686,BULL,MOMENTUM
2020-01-09,0.0131945152737952,BULL,MOMENTUM
2020-01-10,-0.0023970814533572,BULL,MOMENTUM
2020-01-13,0.0171989044106317,BULL,MOMENTUM
2020-01-14,-0.0098823839718457,BULL,MOMENTUM
2020-01-15,0.0005526023943387,BULL,MOMENTUM
2020-01-16,0.0128476881978788,BULL,MOMENTUM
2020-01-17,0.0102388417016649,BULL,MOMENTUM
2020-01-21,-0.002094659678717,BULL,MOMENTUM
2020-01-22,-0.0022797874733091,BULL,MOMENTUM
2020-01-23,0.0056414981009979,BULL,MOMENTUM
2020-01-24,-0.0109215095690523,BULL,MOMENTUM
2020-01-27,-0.0212469941876599,BULL,MOMENTUM
2020-01-28,0.012658441473627,RANGE,MR+QD
2020-01-29,0.006999833712291,BULL,MOMENTUM
2020-01-30,-0.0013570865543932,BULL,MOMENTUM
2020-01-31,-0.0274435791582693,BULL,MOMENTUM
2020-02-03,0.0120854418963345,RANGE,MR+QD
2020-02-04,0.0223498902785849,BULL,MOMENTUM
2020-02-05,0.0058281110980827,BULL,MOMENTUM
2020-02-06,0.0060060360634346,BULL,MOMENTUM
2020-02-07,-0.0072453980334274,BULL,MOMENTUM
2020-02-10,0.0177840455204004,BULL,MOMENTUM
2020-02-11,0.0019749070438591,BULL,MOMENTUM
2020-02-12,0.0104807249911489,BULL,MOMENTUM
2020-02-13,-0.0010053835394389,BULL,MOMENTUM
2020-02-14,0.0133741972579267,BULL,MOMENTUM
2020-02-18,0.0037994062492082,BULL,MOMENTUM
2020-02-19,0.0174973552405091,BULL,MOMENTUM
2020-02-20,-0.0121687676245358,BULL,MOMENTUM
2020-02-21,-0.0230717262629131,BULL,MOMENTUM
2020-02-24,-0.0466920416447593,BULL,MOMENTUM
2020-02-25,0.0,BEAR,CASH
2020-02-26,0.0,BEAR,CASH
2020-02-27,0.0,BEAR,CASH
2020-02-28,0.0,BEAR,CASH
2020-03-02,0.0,BEAR,CASH
2020-03-03,0.0,BEAR,CASH
2020-03-04,0.0,BEAR,CASH
2020-03-05,0.0,BEAR,CASH
2020-03-06,0.0,BEAR,CASH
2020-03-09,0.0,BEAR,CASH
2020-03-10,0.0,BEAR,CASH
2020-03-11,0.0,BEAR,CASH
2020-03-12,0.0,BEAR,CASH
2020-03-13,0.0,BEAR,CASH
2020-03-16,0.0,BEAR,CASH
2020-03-17,0.0,BEAR,CASH
2020-03-18,0.0,BEAR,CASH
2020-03-19,0.0,BEAR,CASH
2020-03-20,0.0,BEAR,CASH
2020-03-23,0.0,BEAR,CASH
2020-03-24,0.0,BEAR,CASH
2020-03-25,0.0,BEAR,CASH
2020-03-26,0.0,BEAR,CASH
2020-03-27,0.0,BEAR,CASH
2020-03-30,0.0,BEAR,CASH
2020-03-31,0.0,BEAR,CASH
2020-04-01,0.0,BEAR,CASH
2020-04-02,0.0,BEAR,CASH
2020-04-03,0.0,BEAR,CASH
2020-04-06,0.0,BEAR,CASH
2020-04-07,0.0,BEAR,CASH
2020-04-08,0.0,BEAR,CASH
2020-04-09,0.0,BEAR,CASH
2020-04-13,0.0,BEAR,CASH
2020-04-14,0.0,BEAR,CASH
2020-04-15,0.0,BEAR,CASH
2020-04-16,0.0,BEAR,CASH
2020-04-17,0.0,BEAR,CASH
2020-04-20,0.0,BEAR,CASH
2020-04-21,0.0,BEAR,CASH
2020-04-22,0.0,BEAR,CASH
2020-04-23,0.0,BEAR,CASH
2020-04-24,0.0,BEAR,CASH
2020-04-27,0.0,BEAR,CASH
2020-04-28,0.0,BEAR,CASH
2020-04-29,0.0,BEAR,CASH
2020-04-30,0.0,BEAR,CASH
2020-05-01,0.0,BEAR,CASH
2020-05-04,0.0,BEAR,CASH
2020-05-05,0.0,BEAR,CASH
2020-05-06,0.0,BEAR,CASH
2020-05-07,0.0,BEAR,CASH
2020-05-08,0.0,BEAR,CASH
2020-05-11,0.019540616896308198,RANGE,MR+QD
2020-05-12,-0.015061636376344101,RANGE,MR+QD
2020-05-13,0.0,BEAR,CASH
2020-05-14,0.0,BEAR,CASH
2020-05-15,0.0,BEAR,CASH
2020-05-18,0.0,BEAR,CASH
2020-05-19,-0.0018423934894811,RANGE,MR+QD
2020-05-20,0.0,BEAR,CASH
2020-05-21,-0.01112597303958325,RANGE,MR+QD
2020-05-22,0.002052837465961,RANGE,MR+QD
2020-05-26,-0.01345718628738605,RANGE,MR+QD
2020-05-27,-0.0024083602933281,RANGE,MR+QD
2020-05-28,0.0034331159741654,RANGE,MR+QD
2020-05-29,0.017361798122779798,RANGE,MR+QD
2020-06-01,0.0006400592164657001,RANGE,MR+QD
2020-06-02,0.00762468967666875,RANGE,MR+QD
2020-06-03,-0.0003918674588569,RANGE,MR+QD
2020-06-04,-0.0053547693800832,RANGE,MR+QD
2020-06-05,0.013735409744583999,RANGE,MR+QD
2020-06-08,0.006329509185497351,RANGE,MR+QD
2020-06-09,0.010188213283518599,RANGE,MR+QD
2020-06-10,0.01938545091370255,RANGE,MR+QD
2020-06-11,-0.048653734303812,RANGE,MR+QD
2020-06-12,0.0,BEAR,CASH
2020-06-15,0.0,BEAR,CASH
2020-06-16,0.0,BEAR,CASH
2020-06-17,0.0,BEAR,CASH
2020-06-18,0.0,BEAR,CASH
2020-06-19,0.0,BEAR,CASH
2020-06-22,0.0,BEAR,CASH
2020-06-23,0.0,BEAR,CASH
2020-06-24,0.0,BEAR,CASH
2020-06-25,0.0,BEAR,CASH
2020-06-26,0.0,BEAR,CASH
2020-06-29,0.0,BEAR,CASH
2020-06-30,0.0,BEAR,CASH
2020-07-01,0.0,BEAR,CASH
2020-07-02,0.00624087662458,RANGE,MR+QD
2020-07-06,0.0212263475405346,RANGE,MR+QD
2020-07-07,-0.0036868133557827,RANGE,MR+QD
2020-07-08,0.00967782862325975,RANGE,MR+QD
2020-07-09,0.00551059531452925,RANGE,MR+QD
2020-07-10,0.0054900707380240495,RANGE,MR+QD
2020-07-13,-0.0151719117071642,RANGE,MR+QD
2020-07-14,0.0,BEAR,CASH
2020-07-15,0.0026984594967990497,RANGE,MR+QD
2020-07-16,-0.00641115731064905,RANGE,MR+QD
2020-07-17,0.0021850310074758,RANGE,MR+QD
2020-07-20,0.021875311347726648,RANGE,MR+QD
2020-07-21,-0.00851285191300175,RANGE,MR+QD
2020-07-22,0.00748128412835865,RANGE,MR+QD
2020-07-23,-0.02144444490167785,RANGE,MR+QD
2020-07-24,-0.009153988245048499,RANGE,MR+QD
2020-07-27,0.008007021685165054,RANGE,MR+QD
2020-07-28,-0.0089409609272694,RANGE,MR+QD
2020-07-29,0.01051976549692665,RANGE,MR+QD
2020-07-30,-0.0007500784380218999,RANGE,MR+QD
2020-07-31,0.00400916762246375,RANGE,MR+QD
2020-08-03,0.0184061499202941,RANGE,MR+QD
2020-08-04,0.0025025752186158003,RANGE,MR+QD
2020-08-05,0.00274866814963705,RANGE,MR+QD
2020-08-06,0.00774054295022805,RANGE,MR+QD
2020-08-07,-0.01167198353015985,RANGE,MR+QD
2020-08-10,-0.00748318766938805,RANGE,MR+QD
2020-08-11,-0.016349884289974498,RANGE,MR+QD
2020-08-12,0.02691293089145485,RANGE,MR+QD
2020-08-13,0.00271334659249545,RANGE,MR+QD
2020-08-14,-0.00171122003834655,RANGE,MR+QD
2020-08-17,0.012005114977305501,RANGE,MR+QD
2020-08-18,0.0116905701167445,BULL,MOMENTUM
2020-08-19,-0.0060810637954204,BULL,MOMENTUM
2020-08-20,0.0115606768164919,RANGE,MR+QD
2020-08-21,0.00385261104843795,RANGE,MR+QD
2020-08-24,0.0003870089159489498,RANGE,MR+QD
2020-08-25,0.00756209184813395,RANGE,MR+QD
2020-08-26,0.0364350494846665,RANGE,MR+QD
2020-08-27,-0.0062636270673080505,RANGE,MR+QD
2020-08-28,0.005818250800105449,RANGE,MR+QD
2020-08-31,0.009173175946842029,RANGE,MR+QD
2020-09-01,0.0069159419236817996,RANGE,MR+QD
2020-09-02,0.00992904512483475,RANGE,MR+QD
2020-09-03,-0.0423519320146124,RANGE,MR+QD
2020-09-04,0.0,BEAR,CASH
2020-09-08,0.0,BEAR,CASH
2020-09-09,0.0,BEAR,CASH
2020-09-10,-0.0203351056223873,RANGE,MR+QD
2020-09-11,-0.00146265737613065,RANGE,MR+QD
2020-09-14,0.01385282050935525,RANGE,MR+QD
2020-09-15,0.0107140935971593,RANGE,MR+QD
2020-09-16,-0.01480405630420595,RANGE,MR+QD
2020-09-17,-0.0108735984798233,RANGE,MR+QD
2020-09-18,-0.00587008664672845,RANGE,MR+QD
2020-09-21,0.0049941428686462504,RANGE,MR+QD
2020-09-22,0.0058497914026737,RANGE,MR+QD
2020-09-23,-0.0270518369377475,RANGE,MR+QD
2020-09-24,0.0,BEAR,CASH
2020-09-25,0.01780897859278505,RANGE,MR+QD
2020-09-28,0.0142453841051327,RANGE,MR+QD
2020-09-29,-0.0021822399868726998,RANGE,MR+QD
2020-09-30,0.012965317663455149,RANGE,MR+QD
2020-10-01,0.01751883420893425,RANGE,MR+QD
2020-10-02,-0.0268960466834703,RANGE,MR+QD
2020-10-05,0.0271231664243742,RANGE,MR+QD
2020-10-06,-0.01691892628012385,RANGE,MR+QD
2020-10-07,0.022854310485172002,RANGE,MR+QD
2020-10-08,0.0006412892936068001,RANGE,MR+QD
2020-10-09,0.013491640748061601,RANGE,MR+QD
2020-10-12,0.020761784753597648,RANGE,MR+QD
2020-10-13,0.0020906277359305,RANGE,MR+QD
2020-10-14,-0.010128319977839851,RANGE,MR+QD
2020-10-15,-0.00782216523053125,RANGE,MR+QD
2020-10-16,-0.0038393462340312505,RANGE,MR+QD
2020-10-19,-0.01601689155781015,RANGE,MR+QD
2020-10-20,0.0051774384672932,RANGE,MR+QD
2020-10-21,-0.00730294003798895,RANGE,MR+QD
2020-10-22,0.00076825664957725,RANGE,MR+QD
2020-10-23,0.00678466226983665,RANGE,MR+QD
2020-10-26,-0.00914890976693805,RANGE,MR+QD
2020-10-27,0.0,BEAR,CASH
2020-10-28,0.0,BEAR,CASH
2020-10-29,0.0,BEAR,CASH
2020-10-30,0.0,BEAR,CASH
2020-11-02,0.0,BEAR,CASH
2020-11-03,0.0,BEAR,CASH
2020-11-04,0.0,BEAR,CASH
2020-11-05,0.02184923717978825,RANGE,MR+QD
2020-11-06,0.0041215385047889495,RANGE,MR+QD
2020-11-09,-0.025144210165975102,RANGE,MR+QD
2020-11-10,-0.01340550934066345,RANGE,MR+QD
2020-11-11,0.022163108888681848,RANGE,MR+QD
2020-11-12,-0.0069998312335186,RANGE,MR+QD
2020-11-13,0.0056716659239048,RANGE,MR+QD
2020-11-16,0.00521787627971987,RANGE,MR+QD
2020-11-17,0.00157668912333965,RANGE,MR+QD
2020-11-18,-0.0100062758515559,RANGE,MR+QD
2020-11-19,0.00581754302824775,RANGE,MR+QD
2020-11-20,-0.005732113172115451,RANGE,MR+QD
2020-11-23,0.0007170530212977501,RANGE,MR+QD
2020-11-24,0.005930585923934049,RANGE,MR+QD
2020-11-25,0.0052288310056019,BULL,MOMENTUM
2020-11-27,0.0063496050283426,BULL,MOMENTUM
2020-11-30,0.0108584797734897,BULL,MOMENTUM
2020-12-01,0.0148611980451393,BULL,MOMENTUM
2020-12-02,0.0007546104566651,BULL,MOMENTUM
2020-12-03,-0.0004987612442223,BULL,MOMENTUM
2020-12-04,0.0083244407446231,BULL,MOMENTUM
2020-12-07,0.0140507387874855,BULL,MOMENTUM
2020-12-08,-0.0011612768433289,BULL,MOMENTUM
2020-12-09,-0.0285946614259012,BULL,MOMENTUM
2020-12-10,0.00555690714222315,RANGE,MR+QD
2020-12-11,-0.00323270937727865,RANGE,MR+QD
2020-12-14,0.0094487416264004,RANGE,MR+QD
2020-12-15,0.00739099383529425,RANGE,MR+QD
2020-12-16,0.00034218070660585,RANGE,MR+QD
2020-12-17,0.00916341944831755,RANGE,MR+QD
