Date,regime
2015-01-02,RANGE
2015-01-05,RANGE
2015-01-06,RANGE
2015-01-07,RANGE
2015-01-08,RANGE
2015-01-09,RANGE
2015-01-12,RANGE
2015-01-13,RANGE
2015-01-14,RANGE
2015-01-15,RANGE
2015-01-16,RANGE
2015-01-20,RANGE
2015-01-21,RANGE
2015-01-22,RANGE
2015-01-23,RANGE
2015-01-26,RANGE
2015-01-27,RANGE
2015-01-28,RANGE
2015-01-29,RANGE
2015-01-30,RANGE
2015-02-02,RANGE
2015-02-03,RANGE
2015-02-04,RANGE
2015-02-05,RANGE
2015-02-06,RANGE
2015-02-09,RANGE
2015-02-10,RANGE
2015-02-11,RANGE
2015-02-12,RANGE
2015-02-13,RANGE
2015-02-17,RANGE
2015-02-18,RANGE
2015-02-19,RANGE
2015-02-20,RANGE
2015-02-23,RANGE
2015-02-24,RANGE
2015-02-25,RANGE
2015-02-26,RANGE
2015-02-27,RANGE
2015-03-02,RANGE
2015-03-03,RANGE
2015-03-04,RANGE
2015-03-05,RANGE
2015-03-06,RANGE
2015-03-09,RANGE
2015-03-10,RANGE
2015-03-11,RANGE
2015-03-12,RANGE
2015-03-13,RANGE
2015-03-16,RANGE
2015-03-17,RANGE
2015-03-18,RANGE
2015-03-19,RANGE
2015-03-20,RANGE
2015-03-23,RANGE
2015-03-24,RANGE
2015-03-25,RANGE
2015-03-26,RANGE
2015-03-27,RANGE
2015-03-30,RANGE
2015-03-31,RANGE
2015-04-01,RANGE
2015-04-02,RANGE
2015-04-06,RANGE
2015-04-07,RANGE
2015-04-08,RANGE
2015-04-09,BULL
2015-04-10,BULL
2015-04-13,BULL
2015-04-14,BULL
2015-04-15,BULL
2015-04-16,BULL
2015-04-17,BULL
2015-04-20,RANGE
2015-04-21,RANGE
2015-04-22,RANGE
2015-04-23,BULL
2015-04-24,BULL
2015-04-27,BULL
2015-04-28,BULL
2015-04-29,BULL
2015-04-30,BULL
2015-05-01,BULL
2015-05-04,BULL
2015-05-05,BULL
2015-05-06,BULL
2015-05-07,RANGE
2015-05-08,RANGE
2015-05-11,BULL
2015-05-12,BULL
2015-05-13,BULL
2015-05-14,BULL
2015-05-15,BULL
2015-05-18,BULL
2015-05-19,BULL
2015-05-20,BULL
2015-05-21,BULL
2015-05-22,BULL
2015-05-26,BULL
2015-05-27,BULL
2015-05-28,BULL
2015-05-29,BULL
2015-06-01,BULL
2015-06-02,BULL
2015-06-03,BULL
2015-06-04,BULL
2015-06-05,BULL
2015-06-08,BULL
2015-06-09,RANGE
2015-06-10,RANGE
2015-06-11,BULL
2015-06-12,BULL
2015-06-15,RANGE
2015-06-16,RANGE
2015-06-17,RANGE
2015-06-18,RANGE
2015-06-19,RANGE
2015-06-22,RANGE
2015-06-23,RANGE
2015-06-24,RANGE
2015-06-25,RANGE
2015-06-26,RANGE
2015-06-29,RANGE
2015-06-30,RANGE
2015-07-01,RANGE
2015-07-02,RANGE
2015-07-06,RANGE
2015-07-07,RANGE
2015-07-08,RANGE
2015-07-09,RANGE
2015-07-10,RANGE
2015-07-13,RANGE
2015-07-14,BULL
2015-07-15,BULL
2015-07-16,BULL
2015-07-17,BULL
2015-07-20,BULL
2015-07-21,BULL
2015-07-22,RANGE
2015-07-23,RANGE
2015-07-24,RANGE
2015-07-27,RANGE
2015-07-28,RANGE
2015-07-29,BULL
2015-07-30,BULL
2015-07-31,BULL
2015-08-03,BULL
2015-08-04,BULL
2015-08-05,BULL
2015-08-06,BULL
2015-08-07,BULL
2015-08-10,BULL
2015-08-11,BULL
2015-08-12,RANGE
2015-08-13,RANGE
2015-08-14,RANGE
2015-08-17,RANGE
2015-08-18,RANGE
2015-08-19,RANGE
2015-08-20,RANGE
2015-08-21,RANGE
2015-08-24,BEAR
2015-08-25,BEAR
2015-08-26,BEAR
2015-08-27,BEAR
2015-08-28,BEAR
2015-08-31,BEAR
2015-09-01,BEAR
2015-09-02,BEAR
2015-09-03,BEAR
2015-09-04,BEAR
2015-09-08,BEAR
2015-09-09,BEAR
2015-09-10,BEAR
2015-09-11,BEAR
2015-09-14,RANGE
2015-09-15,RANGE
2015-09-16,RANGE
2015-09-17,RANGE
2015-09-18,RANGE
2015-09-21,RANGE
2015-09-22,RANGE
2015-09-23,RANGE
2015-09-24,RANGE
2015-09-25,RANGE
2015-09-28,RANGE
2015-09-29,RANGE
2015-09-30,RANGE
2015-10-01,RANGE
2015-10-02,RANGE
2015-10-05,RANGE
2015-10-06,BULL
2015-10-07,BULL
2015-10-08,BULL
2015-10-09,BULL
2015-10-12,BULL
2015-10-13,BULL
2015-10-14,BULL
2015-10-15,BULL
2015-10-16,BULL
2015-10-19,BULL
2015-10-20,BULL
2015-10-21,BULL
2015-10-22,BULL
2015-10-23,BULL
2015-10-26,BULL
2015-10-27,BULL
2015-10-28,BULL
2015-10-29,BULL
2015-10-30,BULL
2015-11-02,BULL
2015-11-03,BULL
2015-11-04,BULL
2015-11-05,BULL
2015-11-06,BULL
2015-11-09,BULL
2015-11-10,BULL
2015-11-11,BULL
2015-11-12,BULL
2015-11-13,BULL
2015-11-16,BULL
2015-11-17,BULL
2015-11-18,BULL
2015-11-19,BULL
