date,market_regime,strategy,n_stocks,top_stocks
2020-06-01,BEAR,MOMENTUM_SURGE,0,
2020-06-01,BEAR,QUALITY_DEFENSIVE,0,
2020-06-01,BEAR,VALUE_ROTATION,0,
2020-06-01,BEAR,BREAKOUT_CAPTURE,0,
2020-06-01,BEAR,MEAN_REVERSION,0,
2020-06-02,BEAR,MOMENTUM_SURGE,0,
2020-06-02,BEAR,QUALITY_DEFENSIVE,0,
2020-06-02,BEAR,VALUE_ROTATION,0,
2020-06-02,BEAR,BREAKOUT_CAPTURE,0,
2020-06-02,BEAR,MEAN_REVERSION,0,
2020-06-03,BEAR,MOMENTUM_SURGE,0,
2020-06-03,BEAR,QUALITY_DEFENSIVE,0,
2020-06-03,BEAR,VALUE_ROTATION,0,
2020-06-03,BEAR,BREAKOUT_CAPTURE,0,
2020-06-03,BEAR,MEAN_REVERSION,0,
2020-06-04,BEAR,MOMENTUM_SURGE,0,
2020-06-04,BEAR,QUALITY_DEFENSIVE,0,
2020-06-04,BEAR,VALUE_ROTATION,0,
2020-06-04,BEAR,BREAKOUT_CAPTURE,0,
2020-06-04,BEAR,MEAN_REVERSION,0,
2020-06-05,BEAR,MOMENTUM_SURGE,0,
2020-06-05,BEAR,QUALITY_DEFENSIVE,0,
2020-06-05,BEAR,VALUE_ROTATION,0,
2020-06-05,BEAR,BREAKOUT_CAPTURE,0,
2020-06-05,BEAR,MEAN_REVERSION,0,
2020-06-08,BEAR,MOMENTUM_SURGE,0,
2020-06-08,BEAR,QUALITY_DEFENSIVE,0,
2020-06-08,BEAR,VALUE_ROTATION,0,
2020-06-08,BEAR,BREAKOUT_CAPTURE,0,
2020-06-08,BEAR,MEAN_REVERSION,0,
2020-06-09,BEAR,MOMENTUM_SURGE,0,
2020-06-09,BEAR,QUALITY_DEFENSIVE,0,
2020-06-09,BEAR,VALUE_ROTATION,0,
2020-06-09,BEAR,BREAKOUT_CAPTURE,0,
2020-06-09,BEAR,MEAN_REVERSION,0,
2020-06-10,BEAR,MOMENTUM_SURGE,0,
2020-06-10,BEAR,QUALITY_DEFENSIVE,0,
2020-06-10,BEAR,VALUE_ROTATION,0,
2020-06-10,BEAR,BREAKOUT_CAPTURE,0,
2020-06-10,BEAR,MEAN_REVERSION,0,
2020-06-11,BEAR,MOMENTUM_SURGE,0,
2020-06-11,BEAR,QUALITY_DEFENSIVE,0,
2020-06-11,BEAR,VALUE_ROTATION,0,
2020-06-11,BEAR,BREAKOUT_CAPTURE,0,
2020-06-11,BEAR,MEAN_REVERSION,0,
2020-06-12,BEAR,MOMENTUM_SURGE,0,
2020-06-12,BEAR,QUALITY_DEFENSIVE,0,
2020-06-12,BEAR,VALUE_ROTATION,0,
2020-06-12,BEAR,BREAKOUT_CAPTURE,0,
2020-06-12,BEAR,MEAN_REVERSION,0,
2020-06-15,BEAR,MOMENTUM_SURGE,0,
2020-06-15,BEAR,QUALITY_DEFENSIVE,0,
2020-06-15,BEAR,VALUE_ROTATION,0,
2020-06-15,BEAR,BREAKOUT_CAPTURE,0,
2020-06-15,BEAR,MEAN_REVERSION,0,
2020-06-16,BEAR,MOMENTUM_SURGE,0,
2020-06-16,BEAR,QUALITY_DEFENSIVE,0,
2020-06-16,BEAR,VALUE_ROTATION,0,
2020-06-16,BEAR,BREAKOUT_CAPTURE,0,
2020-06-16,BEAR,MEAN_REVERSION,0,
2020-06-17,BEAR,MOMENTUM_SURGE,0,
2020-06-17,BEAR,QUALITY_DEFENSIVE,0,
2020-06-17,BEAR,VALUE_ROTATION,0,
2020-06-17,BEAR,BREAKOUT_CAPTURE,0,
2020-06-17,BEAR,MEAN_REVERSION,0,
2020-06-18,BEAR,MOMENTUM_SURGE,0,
2020-06-18,BEAR,QUALITY_DEFENSIVE,0,
2020-06-18,BEAR,VALUE_ROTATION,0,
2020-06-18,BEAR,BREAKOUT_CAPTURE,0,
2020-06-18,BEAR,MEAN_REVERSION,0,
2020-06-19,BEAR,MOMENTUM_SURGE,0,
