date,return,market_regime,n_positions,cumulative
2021-01-04,-0.013251012104952607,BULL,82,0.9867489878950474
2021-01-05,0.01893453014828592,BULL,82,1.0054326163551368
2021-01-06,0.014760911565998612,BULL,82,1.0202737182907256
2021-01-07,0.022362043538055324,BULL,82,1.0430891235998765
2021-01-08,0.008549345776578399,BULL,82,1.05200685319332
2021-01-11,0.00011750476312676246,BULL,80,1.0521304690094122
2021-01-12,0.016965193667271825,BULL,80,1.0699800661793946
2021-01-13,-0.0003773559265554643,BULL,80,1.0695763028601255
2021-01-14,-0.0007405274954500429,BULL,80,1.0687842521993758
2021-01-15,-0.014030207811849103,BULL,80,1.0537889870349868
2021-01-19,0.009731620977181707,BULL,78,1.0640440620467395
2021-01-20,-0.0020079236672160957,BULL,78,1.0619075427915952
2021-01-21,0.0037049328296314705,BULL,78,1.065841838908917
2021-01-22,0.002414133534580669,BULL,78,1.0684149234347862
2021-01-25,-0.00391568786173422,BULL,78,1.0642313440877968
2021-01-26,-0.007661459245205006,BULL,78,1.0560777790175984
2021-01-27,-0.018880648420994767,BEAR,78,1.0361383457667421
2021-01-28,0.016604206523280318,BEAR,78,1.0533426008465432
2021-01-29,-0.016541340503764355,BEAR,78,1.0359189022188198
2021-02-01,0.008521766109119318,BEAR,78,1.0447467608115442
2021-02-02,0.009911714120203407,BEAR,62,1.0551019920327167
2021-02-03,0.004437359909369033,BEAR,62,1.059783859312458
2021-02-04,0.006425947196198906,BEAR,62,1.0665939744317838
2021-02-05,0.0072437272352187075,BEAR,62,1.0743200902532954
2021-02-08,0.008715186132434494,BEAR,62,1.0836829898056666
2021-02-09,0.0018886820551798664,BEAR,60,1.0857297224220162
2021-02-10,0.0038540094991729753,BEAR,60,1.089914135085765
2021-02-11,-0.000942386318522345,BEAR,60,1.088887014916496
2021-02-12,0.005460617993046849,BEAR,60,1.094833010942544
2021-02-16,-0.001602419324831582,BEAR,60,1.093078629368346
2021-02-17,0.004063245734066025,BEAR,67,1.097520076446126
2021-02-18,-0.004787963724123845,BEAR,67,1.0922651901336042
2021-02-19,-6.401478355375148e-05,BEAR,67,1.0921952690138745
2021-02-22,-0.0023524990950984656,BEAR,67,1.0896258806318486
2021-02-23,-0.0026203419478978583,BEAR,67,1.0867706882293138
2021-02-24,0.007552659951947291,BEAR,69,1.0949786976832536
2021-02-25,-0.016113347880023884,BEAR,69,1.0773349250062678
2021-02-26,-0.004620667226686437,BEAR,69,1.0723569188261266
2021-03-01,0.015902014743871047,BEAR,69,1.0894095543599918
2021-03-02,-0.003264375578150402,BEAR,69,1.0858533124161354
2021-03-03,-0.006439208842180491,BEAR,66,1.0788612761655143
2021-03-04,-0.01063356043661608,BEAR,66,1.0673891395826836
2021-03-05,0.010206124705529458,BEAR,66,1.0782830462505921
2021-03-08,0.0022285664425201034,BEAR,66,1.0806860716630045
2021-03-09,0.009644886569989892,BEAR,66,1.091109166241962
2021-03-10,0.006788308808742859,BEAR,56,1.0985159522064625
2021-03-11,0.006843612911955161,BEAR,56,1.1060337701609713
2021-03-12,0.0037956960515522853,BEAR,56,1.1102319381752548
2021-03-15,0.005711248410161294,BEAR,56,1.1165727485670687
2021-03-16,-0.002577919067926707,BEAR,56,1.1136943143878102
2021-03-17,-0.003583194073438666,BEAR,58,1.1097037315208735
2021-03-18,-0.004072035327166007,BEAR,58,1.1051849787234325
2021-03-19,0.0007832142249247787,BEAR,58,1.1060505753199419
2021-03-22,0.004602681230767336,BEAR,58,1.1111413735432465
2021-03-23,-0.004450000518565883,BEAR,58,1.106196793854779
2021-03-24,-0.0031133748505253736,BEAR,50,1.1027527885770598
2021-03-25,0.004087294255183862,BEAR,50,1.107260063714699
2021-03-26,0.010976595219194116,BEAR,50,1.1194140092364742
2021-03-29,0.0019549745217323743,BULL,50,1.1216024351038019
2021-03-30,-0.004237448288608374,BULL,50,1.1168497027846722
2021-03-31,0.01405085907814661,BULL,71,1.1325424005699696
2021-04-01,0.01904639647195906,BULL,71,1.1541132521525297
2021-04-05,-0.0038884412287777045,BULL,71,1.1496255506001811
2021-04-06,0.009178096865258518,BULL,71,1.160176925262366
2021-04-07,-0.009274730953961322,BULL,71,1.1494165964215632
2021-04-08,0.01074794126011944,BULL,54,1.1617704584833086
2021-04-09,0.0020986183547275403,BULL,54,1.164208571291462
2021-04-12,-0.006221173751211091,BULL,54,1.1569658274868087
2021-04-13,0.008044119506059003,BULL,54,1.1662725988675389
2021-04-14,-0.0009607957821283863,BULL,54,1.165152049073735
2021-04-15,0.0006264977822683002,BULL,57,1.1658820142484851
2021-04-16,-0.0015200826418947876,BULL,57,1.1641097772361289
2021-04-19,-0.018838034319213135,BULL,57,1.142180237301223
2021-04-20,-0.009785210367488948,BULL,57,1.131003763401642
2021-04-21,0.02086139312769942,BULL,57,1.1545980775388713
2021-04-22,-0.001865152077159995,BULL,77,1.1524445765362648
2021-04-23,0.018788350961749467,BULL,77,1.1740971097041928
2021-04-26,0.009127775666169242,BULL,77,1.1848140047318703
2021-04-27,0.0029834517975647983,BULL,77,1.1883488402040676
2021-04-28,-0.004400970663225617,BULL,77,1.1831189518206513
2021-04-29,-0.004596131410220021,BULL,70,1.177681181644162
2021-04-30,-0.0061765975215508084,BULL,70,1.1704071189764416
2021-05-03,-0.0006002796381651273,BULL,70,1.1697045474145564
2021-05-04,-0.012975136032814435,BULL,70,1.154527471793651
2021-05-05,-0.0013795116051808852,BULL,70,1.1529347877478113
2021-05-06,-0.008039131586617754,BULL,74,1.1436661932783174
2021-05-07,0.013810639541484655,BULL,74,1.1594609548294663
2021-05-10,-0.013823072822876576,BULL,74,1.1434336416155766
2021-05-11,-0.003124280845572104,BULL,74,1.1398612337908942
2021-05-12,-0.023133807076863366,BULL,74,1.1134919039139801
2021-05-13,0.006510458920769583,BULL,73,1.1207412472130216
2021-05-14,0.022699496242822175,BULL,73,1.1461815089433094
2021-05-17,0.004478618043944135,BULL,73,1.151314818130898
2021-05-18,-0.0029790807700329014,BULL,73,1.1478849582959503
2021-05-19,-0.004572882369856301,BULL,73,1.1426358154075356
2021-05-20,0.011258155443557379,BULL,70,1.1554997870327695
2021-05-21,0.005015283065323813,BULL,70,1.1612949455466601
2021-05-24,0.008068672496934135,BULL,70,1.170665054134621
